AgentNumber,SuccessfulDomain1,NumExceedingMinUtilDomain1,TotalUtilityDomain1,NumBelowMaxDistDomain1,TotalDistDomain1,AverageUtilDomain1,MarkUtilityDomain1,AverageDistDomain1,MarkDistDomain1,SuccessfulDomain2,NumExceedingMinUtilDomain2,TotalUtilityDomain2,NumBelowMaxDistDomain2,TotalDistDomain2,AverageUtilDomain2,MarkUtilityDomain2,AverageDistDomain2,MarkDistDomain2,SuccessfulDomain3,NumExceedingMinUtilDomain3,TotalUtilityDomain3,NumBelowMaxDistDomain3,TotalDistDomain3,AverageUtilDomain3,MarkUtilityDomain3,AverageDistDomain3,MarkDistDomain3,Overall Mark
1,1059,1059,1054.145349,1057,50.69218,0.995231462,1,0.048388849,1,921,921,670.8893275,921,407.9393,0.728435752,0.942891567,0.442930836,0.782337326,1010,1010,954.5037413,945,282.02606,0.945053209,1,0.298440275,0.79627552,92
2,1067,1033,993.2957874,1015,56.55241,0.957448856,0.806472761,0.061841896,0.91126611,749,749,609.444342,749,324.61963,0.759905663,0.983626408,0.457630461,0.750130497,913,913,743.8410077,853,229.19303,0.814721805,0.812487155,0.289783787,0.81913318,84.7
3,1100,1045,979.757015,1010,66.05985,0.935619825,0.694661732,0.071754575,0.845883853,1018,1018,575.9507768,1018,431.00045,0.565766971,0.732332131,0.423379617,0.825173981,1064,1060,799.7329894,996,266.08437,0.754465084,0.725793475,0.267152982,0.878890351,78.4
4,1076,1056,1004.098806,1029,61.35677,0.950281892,0.769762676,0.063732802,0.898794035,930,930,537.331873,930,356.44665,0.577776208,0.747876958,0.383275968,0.91304094,957,957,781.7029017,924,209.36329,0.816826439,0.815515174,0.226583647,0.98601463,85.5
5,968,825,774.9627567,762,52.82936,0.908455431,0.555522301,0.106065434,0.619575575,495,495,392.5954931,495,224.64548,0.489520565,0.633638329,0.586340998,0.468126149,778,778,629.3284816,720,221.71194,0.727308981,0.686722937,0.369167881,0.609517618,59.6
6,909,888,852.389672,856,48.42972,0.933952521,0.686121589,0.084178981,0.763934698,756,756,502.1337739,756,301.3919,0.626101962,0.810430102,0.421685661,0.828885433,772,770,663.0261776,739,193.50162,0.766494158,0.74310017,0.325687838,0.724327693,75.9
7,1065,1042,998.9883434,1006,58.61397,0.956026739,0.7991885,0.065484877,0.887237659,807,807,551.6281198,807,340.19512,0.683554052,0.884796428,0.421555291,0.829171072,884,884,726.3256213,831,213.8562,0.804693327,0.798058796,0.2874382,0.825326758,83.7
8,1094,1066,1015.720264,1046,56.14499,0.952833268,0.782831141,0.055608481,0.9523806,857,857,662.0797777,857,336.44778,0.772555166,1,0.392587841,0.892638656,1045,1045,831.0534848,983,270.83266,0.795266493,0.784496044,0.275516439,0.856806446,87.8
9,1070,1001,955.6229291,960,54.57296,0.946059367,0.748134372,0.070351849,0.855135985,659,659,530.1380784,659,294.76014,0.661020048,0.855628279,0.510174738,0.635006165,799,799,693.1547604,750,213.1283,0.79160786,0.779232227,0.339987157,0.686570005,76
10,1009,994,953.718731,975,54.19901,0.949545973,0.765993202,0.067168877,0.876130297,585,585,488.7286285,585,236.61161,0.609387317,0.788794566,0.511485798,0.632133637,781,781,641.0310761,749,180.23086,0.739331587,0.704020327,0.304534424,0.780183778,75.8
11,1069,764,694.6387683,716,64.13531,0.878715819,0.403192285,0.12541067,0.491977864,955,955,297.6217106,955,490.80985,0.31164577,0.403396138,0.513937016,0.626763027,1046,1007,536.1821038,874,330.38395,0.532454919,0.406378844,0.387029583,0.562353377,48.2
12,454,420,409.3724916,413,26.81909,0.869219332,0.354550087,0.1473765,0.347095182,699,699,416.8288571,699,218.19837,0.51973673,0.672750312,0.374810935,0.931587797,700,699,562.4766726,673,151.88885,0.675605568,0.612335232,0.32347843,0.730161685,60.8
13,1088,1014,956.3083651,998,58.75337,0.936894684,0.701191718,0.067125821,0.87641429,763,763,605.8628033,763,302.65318,0.755439904,0.977845903,0.416275786,0.840738451,920,920,738.42734,863,245.70555,0.802638413,0.795102311,0.301323326,0.788662757,83
