,profile,oppoImpForMe,NashMyUtil,NashOppoUtil
sporthall       ,"1,2",0.898190576,0.9647,1
windFarm,"1,2",0.336264872,0.77,0.955
politics,"1,2",0.170826038,0.745,0.745
,,,,
sporthall       ,"2,1",0.887042003,1,0.9647
windFarm,"2,1",0.344170057,0.955,0.77
politics,"2,1",0.11337986,0.745,0.75
,,,,
energy small,"1,2",0.163463781,0.68,0.71
energy small,"2,1",0.192659534,0.71,0.68
,,,,
new domain,"1,2",0.258482024,0.72,0.78
new domain,"2,1",0.180235418,0.78,0.72
new domain,"1,3",0.644729701,0.9,0.92
new domain,"3,1",0.656881753,0.92,0.9
